x,y,R,G,B,Value
1152,297,85,198,102,1.8982350819907772
1347,298,105,204,91,1.8986480983450278
923,300,62,188,115,1.919536237019391
1103,301,181,221,43,1.9134002562576058
1092,302,181,221,43,1.921728080790567
1092,303,181,221,43,1.9196889337028835
1112,304,189,222,38,1.932923456408057
1102,305,191,223,36,1.9262137654535982
1106,306,199,224,31,1.9238049270029116
1117,307,194,223,34,1.9290314777594166
1108,308,199,224,31,1.924318685352079
1106,309,207,225,28,1.9157071426206154
1084,310,186,222,39,1.9060384088797804
1092,311,202,224,30,1.9049672692463933
1105,312,215,226,25,1.9256158869643714
1105,313,215,226,25,1.909733434090274
1105,314,215,226,25,1.9198121165329303
1081,315,194,223,34,1.9163591782033442
1077,316,186,222,39,1.9375322944170097
1093,317,220,226,24,1.9185032930469763
1079,318,194,223,34,1.922865300458225
1078,319,194,223,34,1.9141553103707678
1107,320,228,227,24,1.9101916127732113
1086,321,218,226,24,1.9235313893337118
1105,322,233,228,25,1.9184369030602078
1124,323,186,222,39,1.9232578318910916
1083,324,218,226,24,1.9250370432078308
1077,325,205,224,29,1.9203126099332493
1088,326,228,227,24,1.9198300774281924
1358,327,103,204,92,1.9120849095982395
1114,328,231,228,25,1.9188761316531044
1106,329,241,229,28,1.9355358532257971
1088,330,233,228,25,1.9154495232991344
1080,331,218,226,24,1.9291622395102201
1126,332,189,222,38,1.9202580312330644
1082,333,218,226,24,1.9202688367937362
1085,334,225,227,24,1.9222472775671426
1074,335,197,223,33,1.9215304696452513
1073,336,197,223,33,1.9298043820694897
1078,337,205,224,29,1.9216035778020533
1107,338,241,229,28,1.920974018774205
1116,339,220,226,24,1.9221026938431434
1095,340,243,229,30,1.9211009987615384
1081,341,212,225,26,1.9161328388371761
1113,342,228,227,24,1.9132089954495763
1105,343,238,229,27,1.9289497642839553
916,344,89,199,100,1.8972346333245538
694,345,189,222,38,1.9366079140843662
695,346,189,222,38,1.9162137947819284
696,347,189,222,38,1.9080483407419961
1120,347,202,224,30,1.9309752054186964
1081,348,197,223,33,1.9141259568653222
1120,349,202,224,30,1.9156064132772734
1118,350,197,223,33,1.9141484629790515
1083,351,197,223,33,1.9150444148321122
1108,352,220,226,24,1.9182797077419322
689,354,189,222,38,1.9178638600625397
1097,354,215,226,25,1.9150438975796165
1115,355,199,224,31,1.9357663970225836
1093,356,210,225,27,1.9228266425597773
1094,357,199,224,31,1.9231190264569789
1115,358,194,223,34,1.9153142007823263
1096,359,205,224,29,1.9186525821805964
1112,360,194,223,34,1.9331385445061129
1109,361,197,223,33,1.9151980902789405
1116,362,186,222,39,1.9161384896045932
1099,363,186,222,39,1.9273510086512093
1108,364,189,222,38,1.9216154058782624
1097,365,183,221,41,1.9314387477906905
1103,366,181,221,43,1.9092349351424895
1102,367,181,221,43,1.9023739199683392
863,369,83,197,103,1.9031121688397727
858,370,66,190,113,1.896381380355558
959,371,98,202,95,1.9010383782154874
924,372,94,201,97,1.8935010482652808
1008,373,69,191,111,1.9006944630618299
688,375,117,198,74,1.8915095751822986
1084,375,114,207,85,1.891178150051478
944,377,85,198,102,1.9033960091037059
908,379,109,206,88,1.8980426810620645
933,380,83,197,103,1.8966239223265897
928,381,87,198,101,1.9022638313967677
909,383,109,206,88,1.901025834190769
951,384,85,198,102,1.898736811573219
1083,386,75,194,108,1.8929535947984402
1077,387,59,186,117,1.898460220539582
1154,389,68,190,112,1.8964076402692152
941,391,79,195,105,1.9035959295681382
893,393,119,208,82,1.9054066218574963
1089,394,79,195,105,1.8975809908596433
976,396,107,205,89,1.9040804499188224
1160,397,64,189,114,1.8995046654342451
887,399,116,208,84,1.9006197247258898
847,401,59,186,117,1.8968088271941121
1156,401,81,196,104,1.890032562256798
860,403,89,199,100,1.898623815043694
926,404,77,194,107,1.8979923504827687
858,407,83,197,103,1.9015264864212365
922,408,79,195,105,1.8946683683793866
929,409,75,194,108,1.900615622427488
936,410,73,193,109,1.9060254146901041
933,412,73,193,109,1.8996477947587338
1096,413,66,190,113,1.903495923169123
1103,414,79,195,105,1.9038377052114976
985,416,116,208,84,1.9031156019373514
945,418,77,194,107,1.9026065357999142
1167,419,61,187,116,1.90465935921534
882,421,103,204,92,1.8939789608083457
929,422,71,192,110,1.8874952713912656
936,423,73,193,109,1.901588183253903
1119,424,98,202,95,1.8993072915267752
1123,425,105,204,91,1.8979923226324473
1147,427,96,201,96,1.9085071150201787
931,430,68,190,112,1.9142688584407412
907,432,77,194,107,1.9072533084668482
925,433,66,190,113,1.897337519307547
948,434,81,196,104,1.8969338603062944
