Manifold,Volume,Homology_Rank,Torsion_Order_Proxy,Lambda_c
"o9_00228(0,0)",3.6542541403317577,2,1.0,3.6542541403317577
"o9_00229(0,0)",3.6542541403317577,2,1.0,3.6542541403317577
"o9_00230(0,0)",3.654382036883774,1,1.0,3.654382036883774
"o9_00231(0,0)",3.654387406668847,2,1.0,3.654387406668847
"o9_00232(0,0)",3.654387406668849,2,1.0,3.654387406668849
"o9_00233(0,0)",3.6544022965086578,1,1.0,3.6544022965086578
"o9_00234(0,0)",3.6544880871166407,2,1.0,3.6544880871166407
"o9_00235(0,0)",3.654488087116639,2,1.0,3.654488087116639
"o9_00236(0,0)",3.6545311020710685,2,1.0,3.6545311020710685
"o9_00237(0,0)",3.654531102071064,2,1.0,3.654531102071064
"o9_00238(0,0)",3.654618932209296,1,1.0,3.654618932209296
"o9_00239(0,0)",3.654640201815783,1,1.0,3.654640201815783
"o9_00240(0,0)",3.6546491780366424,2,1.0,3.6546491780366424
"o9_00241(0,0)",3.654649178036636,2,1.0,3.654649178036636
"o9_00242(0,0)",3.6546535318233184,1,1.0,3.6546535318233184
"o9_00243(0,0)",3.6546585209577405,1,1.0,3.6546585209577405
"o9_00244(0,0)",3.654670876876591,1,1.0,3.654670876876591
"o9_00245(0,0)",3.654674538063433,1,1.0,3.654674538063433
"o9_00246(0,0)",3.654688166982682,2,1.0,3.654688166982682
"o9_00247(0,0)",3.6546881669826803,2,1.0,3.6546881669826803
"o9_00248(0,0)",3.65473126646137,1,1.0,3.65473126646137
"o9_00249(0,0)",3.654742274452396,2,1.0,3.654742274452396
"o9_00250(0,0)",3.654742274452393,2,1.0,3.654742274452393
"o9_00251(0,0)",3.6547506569031247,2,1.0,3.6547506569031247
"o9_00252(0,0)",3.6547506569031243,2,1.0,3.6547506569031243
"o9_00253(0,0)",3.654751611327527,1,1.0,3.654751611327527
"o9_00254(0,0)",3.654854864176782,1,1.0,3.654854864176782
"o9_00255(0,0)",3.6548731455294776,1,1.0,3.6548731455294776
"o9_00256(0,0)",3.654882573051362,2,1.0,3.654882573051362
"o9_00257(0,0)",3.6548825730513594,2,1.0,3.6548825730513594
"o9_00258(0,0)",3.654923254159356,2,1.0,3.654923254159356
"o9_00259(0,0)",3.6549409741937295,1,1.0,3.6549409741937295
"o9_00260(0,0)",3.654959125648668,2,1.0,3.654959125648668
"o9_00261(0,0)",3.654959125648668,2,1.0,3.654959125648668
"o9_00262(0,0)",3.654991460453761,2,1.0,3.654991460453761
"o9_00263(0,0)",3.65499146045376,2,1.0,3.65499146045376
