x,y,rho_D,m_phi_GeV,phi_final
84,0,0.07439271711566665,42.065566444728574,1.8522685516635325e+144
85,0,0.07429198011625682,41.988799038026954,-2.2948909857096864e+144
86,0,0.07419307417281289,41.91344633813889,2.80245616655692e+144
87,0,0.07410145515438331,41.843662437633235,-3.373326138476995e+144
88,0,0.07402064541549051,41.78212545071015,4.002570693422515e+144
89,0,0.07395445991435114,41.73173452697289,-4.681607584756849e+144
90,0,0.07390356503973683,41.692991179283034,5.398052666664401e+144
91,0,0.07386871970347453,41.66646839928054,-6.1358331297984515e+144
92,0,0.07384898545791968,41.65144860957203,6.875597018146516e+144
93,0,0.07384224572778568,41.646319160145396,-7.595427569637973e+144
94,0,0.07384554027604473,41.64882655168144,8.271839804913164e+144
95,0,0.0738554984268978,41.65640556261318,-8.881004751981894e+144
